Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
6781,1286,41,5454,2020-04-19 16:30:00,2020-04-19,479
6302,1188,37,5077,2020-04-18 15:07:00,2020-04-18,477
5825,1095,35,4695,2020-04-17 22:01:00,2020-04-17,460
5365,1034,33,4298,2020-04-16 21:38:00,2020-04-16,432
4933,933,28,3972,2020-04-15 20:35:00,2020-04-15,412
4521,852,25,3644,2020-04-14 23:37:00,2020-04-14,398
4123,852,25,3246,2020-04-13 21:50:00,2020-04-13,387
3736,588,20,3128,2020-04-12 21:08:00,2020-04-12,376
3360,418,16,2926,2020-04-11 07:00:00,2020-04-11,0
3360,418,16,2926,2020-04-10 22:00:00,2020-04-10,370
2990,268,14,2708,2020-04-09 22:00:00,2020-04-09,331
2659,239,12,2408,2020-04-08 23:00:00,2020-04-08,300
2359,186,12,2161,2020-04-07 23:00:00,2020-04-07,283
2076,167,11,1898,2020-04-06 23:00:00,2020-04-06,277
1799,144,10,1645,2020-04-05 23:00:00,2020-04-05,294
1505,125,10,1370,2020-04-04 23:50:00,2020-04-04,241
1264,108,9,1147,2020-04-03 23:30:00,2020-04-03,240
1024,96,8,920,2020-04-02 23:30:00,2020-04-02,210
814,61,8,745,2020-04-01 23:00:00,2020-04-01,150
664,61,6,597,2020-03-31 23:30:00,2020-03-31,53
611,61,5,545,2020-03-30 22:30:00,2020-03-30,41
570,58,3,509,2020-03-29 23:10:00,2020-03-29,102
468,52,2,414,2020-03-28 23:30:00,2020-03-28,63
405,52,2,351,2020-03-27 23:30:00,2020-03-27,72
333,52,2,279,2020-03-26 22:40:00,2020-03-26,0
333,52,2,279,2020-03-25 22:00:00,2020-03-25,85
248,45,2,201,2020-03-24 22:30:00,2020-03-24,50
198,41,2,155,2020-03-23 23:40:00,2020-03-23,45
153,38,2,113,2020-03-22 22:30:00,2020-03-22,0
153,38,2,113,2020-03-21 23:30:00,2020-03-21,13
140,31,2,107,2020-03-20 22:45:00,2020-03-20,0
140,31,0,109,2020-03-19 23:30:00,2020-03-19,27
113,26,0,87,2020-03-18 23:30:00,2020-03-18,0
113,26,0,87,2020-03-17 22:30:00,2020-03-17,15
98,23,0,75,2020-03-16 22:00:00,2020-03-16,0
98,23,0,75,2020-03-15 23:30:00,2020-03-15,13
85,20,0,65,2020-03-14 22:30:00,2020-03-14,0
85,20,0,65,2020-03-13 22:00:00,2020-03-13,0
85,20,0,65,2020-03-12 22:00:00,2020-03-12,11
74,17,0,57,2020-03-11 22:30:00,2020-03-11,0
74,12,0,62,2020-03-10 23:00:00,2020-03-10,15
59,12,0,47,2020-03-09 22:30:00,2020-03-09,14
45,7,0,38,2020-03-08 22:00:00,2020-03-08,0
45,7,0,38,2020-03-07 22:00:00,2020-03-07,0
45,5,0,40,2020-03-06 20:30:00,2020-03-06,17
28,5,0,23,2020-03-05 20:30:00,2020-03-05,0
28,5,0,23,2020-03-04 22:00:00,2020-03-04,1
27,5,0,22,2020-03-03 23:30:00,2020-03-03,6
21,5,0,16,2020-03-02 22:00:00,2020-03-02,0
21,5,0,16,2020-03-01 23:00:00,2020-03-01,0
21,5,0,16,2020-02-29 23:00:00,2020-02-29,2
19,5,0,14,2020-02-28 23:00:00,2020-02-28,0
19,5,0,14,2020-02-27 22:00:00,2020-02-27,6
13,3,0,10,2020-02-26 23:30:00,2020-02-26,0
13,3,0,10,2020-02-25 22:00:00,2020-02-25,0
13,3,0,10,2020-02-24 23:00:00,2020-02-24,0
13,3,0,10,2020-02-23 22:00:00,2020-02-23,0
13,3,0,10,2020-02-22 23:00:00,2020-02-22,2
11,3,0,8,2020-02-21 23:00:00,2020-02-21,2
9,3,0,6,2020-02-20 22:00:00,2020-02-20,0
9,3,0,6,2020-02-19 23:00:00,2020-02-19,0
9,3,0,6,2020-02-18 23:00:00,2020-02-18,0
9,3,0,6,2020-02-17 23:00:00,2020-02-17,0
9,3,0,6,2020-02-16 22:30:00,2020-02-16,1
8,3,0,5,2020-02-15 23:00:00,2020-02-15,0
8,1,0,7,2020-02-14 23:00:00,2020-02-14,0
8,1,0,7,2020-02-13 22:00:00,2020-02-13,0
8,1,0,7,2020-02-12 21:30:00,2020-02-12,0
8,1,0,7,2020-02-11 23:00:00,2020-02-11,0
8,0,0,8,2020-02-10 22:30:00,2020-02-10,1
7,0,0,7,2020-02-09 23:00:00,2020-02-09,0
7,0,0,7,2020-02-08 22:00:00,2020-02-08,0
7,0,0,7,2020-02-07 23:00:00,2020-02-07,2
5,0,0,5,2020-02-06 21:30:00,2020-02-06,0
5,0,0,5,2020-02-05 23:00:00,2020-02-05,0
5,0,0,5,2020-02-04 20:00:00,2020-02-04,0
5,0,0,5,2020-02-03 20:00:00,2020-02-03,0
5,0,0,5,2020-02-02 22:00:00,2020-02-02,1
4,0,0,4,2020-02-01 23:00:00,2020-02-01,0
4,0,0,4,2020-01-31 19:00:00,2020-01-31,0
4,0,0,4,2020-01-30 21:30:00,2020-01-30,0
4,0,0,4,2020-01-29 21:00:00,2020-01-29,4
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
