Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
1758,561,7,1190,2020-04-24 01:25:00,2020-04-24,42
1716,454,7,1255,2020-04-23 16:20:00,2020-04-23,24
1692,372,7,1313,2020-04-22 16:22:00,2020-04-22,35
1657,261,5,1391,2020-04-21 17:14:00,2020-04-21,75
1582,238,5,1339,2020-04-20 16:35:00,2020-04-20,87
1495,194,5,1296,2020-04-19 16:30:00,2020-04-19,45
1450,156,4,1290,2020-04-18 15:07:00,2020-04-18,60
1390,140,4,1246,2020-04-17 22:01:00,2020-04-17,41
1349,129,4,1216,2020-04-16 21:38:00,2020-04-16,74
1275,107,4,1164,2020-04-15 20:35:00,2020-04-15,162
1113,99,4,1010,2020-04-14 23:37:00,2020-04-14,179
934,85,4,845,2020-04-13 21:50:00,2020-04-13,138
796,42,4,750,2020-04-12 21:08:00,2020-04-12,67
729,42,3,684,2020-04-11 07:00:00,2020-04-11,60
669,42,3,624,2020-04-10 22:00:00,2020-04-10,87
582,38,3,541,2020-04-09 22:00:00,2020-04-09,37
545,30,3,512,2020-04-08 23:00:00,2020-04-08,25
520,30,2,488,2020-04-07 23:00:00,2020-04-07,63
457,30,2,425,2020-04-06 23:00:00,2020-04-06,115
342,30,2,310,2020-04-05 23:00:00,2020-04-05,76
266,25,2,239,2020-04-04 23:50:00,2020-04-04,39
227,25,2,200,2020-04-03 23:30:00,2020-04-03,22
205,25,2,178,2020-04-02 23:30:00,2020-04-02,24
181,12,2,167,2020-04-01 23:00:00,2020-04-01,9
172,7,2,163,2020-03-31 23:30:00,2020-03-31,22
150,7,2,141,2020-03-30 22:30:00,2020-03-30,6
144,7,2,135,2020-03-29 23:10:00,2020-03-29,40
104,5,2,97,2020-03-28 23:30:00,2020-03-28,16
88,5,1,82,2020-03-27 23:30:00,2020-03-27,13
75,0,0,75,2020-03-26 22:40:00,2020-03-26,15
60,0,0,60,2020-03-25 22:00:00,2020-03-25,10
50,0,0,50,2020-03-24 22:30:00,2020-03-24,4
46,0,0,46,2020-03-23 23:40:00,2020-03-23,3
43,0,0,43,2020-03-22 22:30:00,2020-03-22,2
41,0,0,41,2020-03-21 23:30:00,2020-03-21,8
33,0,0,33,2020-03-20 22:45:00,2020-03-20,10
23,0,0,23,2020-03-19 23:30:00,2020-03-19,5
18,0,0,18,2020-03-18 23:30:00,2020-03-18,7
11,0,0,11,2020-03-17 22:30:00,2020-03-17,3
8,0,0,8,2020-03-16 22:00:00,2020-03-16,4
4,0,0,4,2020-03-15 23:30:00,2020-03-15,4
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
