Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
270,225,0,45,2020-04-27 14:50:00,2020-04-27,0
270,225,0,45,2020-04-26 15:29:00,2020-04-26,0
270,220,0,50,2020-04-25 17:01:00,2020-04-25,2
268,225,0,43,2020-04-24 15:23:00,2020-04-24,0
268,224,0,44,2020-04-23 16:20:00,2020-04-23,0
268,222,0,46,2020-04-22 16:22:00,2020-04-22,0
268,216,0,52,2020-04-21 17:14:00,2020-04-21,0
268,207,0,61,2020-04-20 16:35:00,2020-04-20,0
268,203,0,65,2020-04-19 16:30:00,2020-04-19,0
268,201,0,67,2020-04-18 15:07:00,2020-04-18,0
268,198,0,70,2020-04-17 22:01:00,2020-04-17,0
268,177,0,91,2020-04-16 21:38:00,2020-04-16,1
267,171,0,96,2020-04-15 20:35:00,2020-04-15,1
266,169,0,97,2020-04-14 23:37:00,2020-04-14,1
265,146,0,119,2020-04-13 21:50:00,2020-04-13,7
258,144,0,114,2020-04-12 21:08:00,2020-04-12,0
258,144,0,114,2020-04-11 07:00:00,2020-04-11,1
257,144,0,113,2020-04-10 22:00:00,2020-04-10,2
255,128,0,127,2020-04-09 22:00:00,2020-04-09,4
251,126,0,125,2020-04-08 23:00:00,2020-04-08,0
251,123,0,128,2020-04-07 23:00:00,2020-04-07,6
245,95,0,150,2020-04-06 23:00:00,2020-04-06,4
241,90,0,151,2020-04-05 23:00:00,2020-04-05,1
240,90,0,150,2020-04-04 23:50:00,2020-04-04,1
239,85,0,154,2020-04-03 23:30:00,2020-04-03,6
233,75,0,158,2020-04-02 23:30:00,2020-04-02,11
222,63,0,159,2020-04-01 23:00:00,2020-04-01,10
212,58,0,154,2020-03-31 23:30:00,2020-03-31,8
204,55,0,149,2020-03-30 22:30:00,2020-03-30,10
194,25,0,169,2020-03-29 23:10:00,2020-03-29,15
179,21,0,158,2020-03-28 23:30:00,2020-03-28,10
169,20,0,149,2020-03-27 23:30:00,2020-03-27,16
153,20,0,133,2020-03-26 22:40:00,2020-03-26,5
148,17,0,131,2020-03-25 22:00:00,2020-03-25,14
134,17,0,117,2020-03-24 22:30:00,2020-03-24,11
123,17,0,106,2020-03-23 23:40:00,2020-03-23,10
113,17,0,96,2020-03-22 22:30:00,2020-03-22,19
94,17,0,77,2020-03-21 23:30:00,2020-03-21,3
91,17,0,74,2020-03-20 22:45:00,2020-03-20,6
85,16,0,69,2020-03-19 23:30:00,2020-03-19,9
76,16,0,60,2020-03-18 23:30:00,2020-03-18,10
66,16,0,50,2020-03-17 22:30:00,2020-03-17,5
61,16,0,45,2020-03-16 22:00:00,2020-03-16,4
57,16,0,41,2020-03-15 23:30:00,2020-03-15,4
53,16,0,37,2020-03-14 22:30:00,2020-03-14,9
44,16,0,28,2020-03-13 22:00:00,2020-03-13,5
39,16,0,23,2020-03-12 22:00:00,2020-03-12,0
39,16,0,23,2020-03-11 22:30:00,2020-03-11,5
34,16,0,18,2020-03-10 23:00:00,2020-03-10,3
31,16,0,15,2020-03-09 22:30:00,2020-03-09,1
30,16,0,14,2020-03-08 22:00:00,2020-03-08,10
20,16,0,4,2020-03-07 22:00:00,2020-03-07,3
17,16,0,1,2020-03-06 20:30:00,2020-03-06,1
16,16,0,0,2020-03-05 20:30:00,2020-03-05,0
16,16,0,0,2020-03-04 22:00:00,2020-03-04,0
16,16,0,0,2020-03-03 23:30:00,2020-03-03,0
16,16,0,0,2020-03-02 22:00:00,2020-03-02,0
16,16,0,0,2020-03-01 23:00:00,2020-03-01,0
16,16,0,0,2020-02-29 23:00:00,2020-02-29,0
16,16,0,0,2020-02-28 23:00:00,2020-02-28,0
16,16,0,0,2020-02-27 22:00:00,2020-02-27,0
16,16,0,0,2020-02-26 23:30:00,2020-02-26,0
16,16,0,0,2020-02-25 22:00:00,2020-02-25,0
16,15,0,1,2020-02-24 23:00:00,2020-02-24,0
16,15,0,1,2020-02-23 22:00:00,2020-02-23,0
16,15,0,1,2020-02-22 23:00:00,2020-02-22,0
16,15,0,1,2020-02-21 23:00:00,2020-02-21,0
16,14,0,2,2020-02-20 22:00:00,2020-02-20,0
16,14,0,2,2020-02-19 23:00:00,2020-02-19,0
16,7,0,9,2020-02-18 23:00:00,2020-02-18,0
16,7,0,9,2020-02-17 23:00:00,2020-02-17,0
16,7,0,9,2020-02-16 22:30:00,2020-02-16,0
16,7,0,9,2020-02-15 23:00:00,2020-02-15,0
16,7,0,9,2020-02-14 23:00:00,2020-02-14,0
16,7,0,9,2020-02-13 22:00:00,2020-02-13,1
15,6,0,9,2020-02-12 21:30:00,2020-02-12,0
15,6,0,9,2020-02-11 23:00:00,2020-02-11,1
14,3,0,11,2020-02-10 22:30:00,2020-02-10,0
14,3,0,11,2020-02-09 23:00:00,2020-02-09,1
13,3,0,10,2020-02-08 22:00:00,2020-02-08,1
12,3,0,9,2020-02-07 23:00:00,2020-02-07,0
12,3,0,9,2020-02-06 21:30:00,2020-02-06,2
10,3,0,7,2020-02-05 23:00:00,2020-02-05,0
10,3,0,7,2020-02-04 20:00:00,2020-02-04,2
8,1,0,7,2020-02-03 20:00:00,2020-02-03,2
6,1,0,5,2020-02-02 22:00:00,2020-02-02,0
6,1,0,5,2020-02-01 23:00:00,2020-02-01,4
2,0,0,2,2020-01-31 19:00:00,2020-01-31,0
2,0,0,2,2020-01-30 21:30:00,2020-01-30,0
2,0,0,2,2020-01-29 21:00:00,2020-01-29,0
2,0,0,2,2020-01-28 23:00:00,2020-01-28,0
2,0,0,2,2020-01-27 20:30:00,2020-01-27,0
2,0,0,2,2020-01-26 23:00:00,2020-01-26,0
2,0,0,2,2020-01-25 22:00:00,2020-01-25,0
2,0,0,2,2020-01-24 12:00:00,2020-01-24,0
2,0,0,2,2020-01-23 00:00:00,2020-01-23,2
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
