Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,date_day,New
74,35,3,36,2020-04-23 16:20:00,2020-04-23,0
74,35,3,36,2020-04-22 16:22:00,2020-04-22,4
70,35,3,32,2020-04-21 17:14:00,2020-04-21,9
61,33,3,25,2020-04-20 16:35:00,2020-04-20,0
61,33,2,26,2020-04-19 16:30:00,2020-04-19,9
52,30,2,20,2020-04-18 15:07:00,2020-04-18,0
52,30,2,20,2020-04-17 22:01:00,2020-04-17,4
48,30,2,16,2020-04-16 21:38:00,2020-04-16,0
48,30,2,16,2020-04-15 20:35:00,2020-04-15,3
45,30,2,13,2020-04-14 23:37:00,2020-04-14,2
43,30,2,11,2020-04-13 21:50:00,2020-04-13,3
40,28,2,10,2020-04-12 21:08:00,2020-04-12,0
40,25,2,13,2020-04-11 07:00:00,2020-04-11,0
40,25,2,13,2020-04-10 22:00:00,2020-04-10,1
39,24,1,14,2020-04-09 22:00:00,2020-04-09,0
39,7,1,31,2020-04-08 23:00:00,2020-04-08,0
39,7,1,31,2020-04-07 23:00:00,2020-04-07,0
39,5,1,33,2020-04-06 23:00:00,2020-04-06,0
39,3,1,35,2020-04-05 23:00:00,2020-04-05,0
39,2,1,36,2020-04-04 23:50:00,2020-04-04,0
39,2,1,36,2020-04-03 23:30:00,2020-04-03,0
39,0,1,38,2020-04-02 23:30:00,2020-04-02,3
36,0,0,36,2020-04-01 23:00:00,2020-04-01,0
36,0,0,36,2020-03-31 23:30:00,2020-03-31,1
35,0,0,35,2020-03-30 22:30:00,2020-03-30,6
29,0,0,29,2020-03-29 23:10:00,2020-03-29,1
28,0,0,28,2020-03-28 23:30:00,2020-03-28,6
22,0,0,22,2020-03-27 23:30:00,2020-03-27,6
16,0,0,16,2020-03-26 22:40:00,2020-03-26,4
12,0,0,12,2020-03-25 22:00:00,2020-03-25,9
3,0,0,3,2020-03-24 22:30:00,2020-03-24,0
3,0,0,3,2020-03-23 23:40:00,2020-03-23,0
3,0,0,3,2020-03-22 22:30:00,2020-03-22,1
2,0,0,2,2020-03-21 23:30:00,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,2020-03-19,0
2,0,0,2,2020-03-18 23:30:00,2020-03-18,2
0,0,0,0,2020-03-17 22:30:00,2020-03-17,0
0,0,0,0,2020-03-16 22:00:00,2020-03-16,0
0,0,0,0,2020-03-15 23:30:00,2020-03-15,0
0,0,0,0,2020-03-14 22:30:00,2020-03-14,0
0,0,0,0,2020-03-13 22:00:00,2020-03-13,0
0,0,0,0,2020-03-12 22:00:00,2020-03-12,0
0,0,0,0,2020-03-11 22:30:00,2020-03-11,0
0,0,0,0,2020-03-10 23:00:00,2020-03-10,0
0,0,0,0,2020-03-09 22:30:00,2020-03-09,0
0,0,0,0,2020-03-08 22:00:00,2020-03-08,0
0,0,0,0,2020-03-07 22:00:00,2020-03-07,0
0,0,0,0,2020-03-06 20:30:00,2020-03-06,0
0,0,0,0,2020-03-05 20:30:00,2020-03-05,0
0,0,0,0,2020-03-04 22:00:00,2020-03-04,0
0,0,0,0,2020-03-03 23:30:00,2020-03-03,0
0,0,0,0,2020-03-02 22:00:00,2020-03-02,0
0,0,0,0,2020-03-01 23:00:00,2020-03-01,0
0,0,0,0,2020-02-29 23:00:00,2020-02-29,0
0,0,0,0,2020-02-28 23:00:00,2020-02-28,0
0,0,0,0,2020-02-27 22:00:00,2020-02-27,0
0,0,0,0,2020-02-26 23:30:00,2020-02-26,0
0,0,0,0,2020-02-25 22:00:00,2020-02-25,0
0,0,0,0,2020-02-24 23:00:00,2020-02-24,0
0,0,0,0,2020-02-23 22:00:00,2020-02-23,0
0,0,0,0,2020-02-22 23:00:00,2020-02-22,0
0,0,0,0,2020-02-21 23:00:00,2020-02-21,0
0,0,0,0,2020-02-20 22:00:00,2020-02-20,0
0,0,0,0,2020-02-19 23:00:00,2020-02-19,0
0,0,0,0,2020-02-18 23:00:00,2020-02-18,0
0,0,0,0,2020-02-17 23:00:00,2020-02-17,0
0,0,0,0,2020-02-16 22:30:00,2020-02-16,0
0,0,0,0,2020-02-15 23:00:00,2020-02-15,0
0,0,0,0,2020-02-14 23:00:00,2020-02-14,0
0,0,0,0,2020-02-13 22:00:00,2020-02-13,0
0,0,0,0,2020-02-12 21:30:00,2020-02-12,0
0,0,0,0,2020-02-11 23:00:00,2020-02-11,0
0,0,0,0,2020-02-10 22:30:00,2020-02-10,0
0,0,0,0,2020-02-09 23:00:00,2020-02-09,0
0,0,0,0,2020-02-08 22:00:00,2020-02-08,0
0,0,0,0,2020-02-07 23:00:00,2020-02-07,0
0,0,0,0,2020-02-06 21:30:00,2020-02-06,0
0,0,0,0,2020-02-05 23:00:00,2020-02-05,0
0,0,0,0,2020-02-04 20:00:00,2020-02-04,0
0,0,0,0,2020-02-03 20:00:00,2020-02-03,0
0,0,0,0,2020-02-02 22:00:00,2020-02-02,0
0,0,0,0,2020-02-01 23:00:00,2020-02-01,0
0,0,0,0,2020-01-31 19:00:00,2020-01-31,0
0,0,0,0,2020-01-30 21:30:00,2020-01-30,0
0,0,0,0,2020-01-29 21:00:00,2020-01-29,0
0,0,0,0,2020-01-28 23:00:00,2020-01-28,0
0,0,0,0,2020-01-27 20:30:00,2020-01-27,0
0,0,0,0,2020-01-26 23:00:00,2020-01-26,0
0,0,0,0,2020-01-25 22:00:00,2020-01-25,0
0,0,0,0,2020-01-24 12:00:00,2020-01-24,0
0,0,0,0,2020-01-23 00:00:00,2020-01-23,0
0,0,0,0,2020-01-22 00:00:00,2020-01-22,0
0,0,0,0,2020-01-21 00:00:00,2020-01-21,0
