Date,Mainland China,Other locations,Total,plusNum,plusPercentNum,date_day
2020-04-21 01:13:00,77648,567924,645572,30230,0.04912715205527983,2020-04-21
2020-04-20 16:35:00,77648,556535,634183,30230,0.04912715205527983,2020-04-20
2020-04-19 16:30:00,77648,528620,606268,30230,0.04912715205527983,2020-04-19
2020-04-18 15:07:00,77648,501936,579584,30230,0.04912715205527983,2020-04-18
2020-04-17 22:01:00,77648,483342,560990,30230,0.04912715205527983,2020-04-17
2020-04-16 21:38:00,78414,457362,535776,30230,0.04912715205527983,2020-04-16
2020-04-15 20:35:00,78414,415867,494281,30230,0.04912715205527983,2020-04-15
2020-04-14 23:37:00,78262,388225,466487,30230,0.04912715205527983,2020-04-14
2020-04-13 21:50:00,78185,359738,437923,30230,0.04912715205527983,2020-04-13
2020-04-12 21:08:00,78062,328266,406328,30230,0.04912715205527983,2020-04-12
2020-04-11 07:00:00,77528,306126,383654,30230,0.04912715205527983,2020-04-11
2020-04-10 22:00:00,77445,300266,377711,30230,0.04912715205527983,2020-04-10
2020-04-09 22:00:00,77376,278881,356257,30230,0.04912715205527983,2020-04-09
2020-04-08 23:00:00,77370,254254,331592,30230,0.04912715205527983,2020-04-08
2020-04-07 23:00:00,77279,225566,302845,30230,0.04912715205527983,2020-04-07
2020-04-06 23:00:00,77143,201685,278828,30230,0.04912715205527983,2020-04-06
2020-04-05 23:00:00,77078,183588,260666,30230,0.04912715205527983,2020-04-05
2020-04-04 23:50:00,76964,169964,246928,30230,0.04912715205527983,2020-04-04
2020-04-03 23:30:00,76751,149917,226668,30230,0.04912715205527983,2020-04-03
2020-04-02 23:30:00,76567,135159,211726,30230,0.04912715205527983,2020-04-02
2020-04-01 23:00:00,76261,117837,193899,30230,0.04912715205527983,2020-04-01
2020-03-31 23:30:00,76062,102066,178128,30230,0.04912715205527983,2020-03-31
2020-03-30 22:30:00,76048,89624,165672,30230,0.04912715205527983,2020-03-30
2020-03-29 23:10:00,75765,76065,151830,30230,0.04912715205527983,2020-03-29
2020-03-28 23:30:00,74972,66811,141783,30230,0.04912715205527983,2020-03-28
2020-03-27 23:30:00,74971,58437,133408,30230,0.04912715205527983,2020-03-27
2020-03-26 22:40:00,74048,49763,123811,30230,0.04912715205527983,2020-03-26
2020-03-25 22:00:00,74048,40108,114156,30230,0.04912715205527983,2020-03-25
2020-03-24 22:30:00,73648,35461,109109,30230,0.04912715205527983,2020-03-24
2020-03-23 23:40:00,73151,28844,101995,30230,0.04912715205527983,2020-03-23
2020-03-22 22:30:00,72698,26181,98879,30230,0.04912715205527983,2020-03-22
2020-03-21 23:30:00,72244,23226,95470,30230,0.04912715205527983,2020-03-21
2020-03-20 22:45:00,71725,20083,91808,30230,0.04912715205527983,2020-03-20
2020-03-19 23:30:00,71136,17187,88323,30230,0.04912715205527983,2020-03-19
2020-03-18 23:30:00,70420,15235,85655,30230,0.04912715205527983,2020-03-18
2020-03-17 22:30:00,69594,13073,82667,30230,0.04912715205527983,2020-03-17
